,Item Name,CatalogNumber,SMILES,Rack Number,Plate Location
259,Emtricitabine (Emtriva),S1704,"NC1=NC(=O)N(C=C1F)[C@@H]1CS[C@H](CO)O1 |r,c:6,t:1|",L1300-03,d11
260,Progesterone (Prometrium),S1705,"[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C |r,t:20|",L1300-03,e11
261,Lamivudine (Epivir),S1706,"NC1=NC(=O)N(C=C1)[C@@H]1CS[C@H](CO)O1 |r,c:6,t:1|",L1300-03,f11
262,Hydrochlorothiazide,S1708,"NS(=O)(=O)C1=C(Cl)C=C2NCNS(=O)(=O)C2=C1 |c:4,16,t:7|",L1300-03,g11
263,Estradiol,S1709,"[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3 |r,c:13,24,t:21|",L1300-03,h11
264,Deferasirox (Exjade),S1712,"OC(=O)C1=CC=C(C=C1)N1N=C(N=C1C1=CC=CC=C1O)C1=CC=CC=C1O |c:5,7,11,13,18,20,26,28,t:3,16,24|",L1300-04,a1
265,Piroxicam (Feldene),S1713,"CN1C(C(=O)NC2=NC=CC=C2)=C(O)C2=C(C=CC=C2)S1(=O)=O |c:8,10,17,19,t:6,12,15|",L1300-04,b1
266,Gemcitabine (Gemzar),S1714,"NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)C1(F)F |r,c:6,t:1|",L1300-04,c1
267,Glipizide (Glucotrol),S1715,"CC1=NC=C(N=C1)C(=O)NCCC1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1 |c:3,5,15,17,t:1,13|",L1300-04,d1
268,Glyburide (Diabeta),S1716,"COC1=C(C=C(Cl)C=C1)C(=O)NCCC1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1 |c:7,17,19,t:2,4,15|",L1300-04,e1
269,"Adefovir Dipivoxil (Preveon, Hepsera)",S1718,"CC(C)(C)C(=O)OCOP(=O)(COCCN1C=NC2=C1N=CN=C2N)OCOC(=O)C(C)(C)C |c:16,18,21,23|",L1300-04,f1
270,Zalcitabine,S1719,"NC1=NC(=O)N(C=C1)[C@H]1CC[C@@H](CO)O1 |r,c:6,t:1|",L1300-04,g1
271,"Azathioprine (Azasan, Imuran)",S1721,"CN1C=NC(=C1SC1=C2NC=NC2=NC=N1)[N+]([O-])=O |c:2,4,8,11,14,16|",L1300-04,h1
272,"Indomethacin (Indocid, Indocin)",S1723,"COC1=CC=C2N(C(=O)C3=CC=C(Cl)C=C3)C(C)=C(CC(O)=O)C2=C1 |c:14,25,t:2,4,9,11,18|",L1300-04,a2
273,"Terbinafine (Lamisil, Terbinex)",S1725,"CN(C\C=C\C#CC(C)(C)C)CC1=CC=CC2=CC=CC=C12 |c:14,18,t:12,16,20|",L1300-04,b2
274,Levonorgestrel (Levonelle),S1727,"[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)CC[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H] |r,c:22|",L1300-04,c2
275,Gemfibrozil (Lopid),S1729,"CC1=CC(OCCCC(C)(C)C(O)=O)=C(C)C=C1 |c:16,t:1,13|",L1300-04,d2
276,Indapamide (Lozol),S1730,"CC1CC2=C(C=CC=C2)N1NC(=O)C1=CC=C(Cl)C(=C1)S(N)(=O)=O |c:5,7,20,t:3,15,17|",L1300-04,e2
277,Mitotane (Lysodren),S1732,"ClC(Cl)C(C1=CC=C(Cl)C=C1)C1=C(Cl)C=CC=C1 |c:9,12,15,17,t:4,6|",L1300-04,f2
278,Methylprednisolone,S1733,"[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)C=C[C@]12C |r,c:28,t:24|",L1300-04,g2
279,Meloxicam (Mobic),S1734,"CN1C(C(=O)NC2=NC=C(C)S2)=C(O)C2=C(C=CC=C2)S1(=O)=O |c:17,19,t:6,8,12,15|",L1300-04,h2
280,"Mesna (Uromitexan, Mesnex)",S1735,[Na+].[O-]S(=O)(=O)CCS,L1300-04,a3
281,Methocarbamol (Robaxin),S1736,"COC1=C(OCC(O)COC(N)=O)C=CC=C1 |c:2,13,15|",L1300-04,b3
282,Prednisolone (Hydroretrocortine),S1737,"[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C |r,c:27,t:23|",L1300-04,c3
283,Telmisartan (Micardis),S1738,"CCCC1=NC2=C(C=C(C=C2C)C2=NC3=C(C=CC=C3)N2C)N1CC1=CC=C(C=C1)C1=CC=CC=C1C(O)=O |c:7,9,17,19,30,32,37,39,t:3,5,13,15,28,35|",L1300-04,d3
284,Thiabendazole,S1739,"N1C2=C(C=CC=C2)N=C1C1=CSC=N1 |c:3,5,8,14,t:1,11|",L1300-04,e3
285,Guaifenesin (Guaiphenesin),S1740,"COC1=C(OCC(O)CO)C=CC=C1 |c:2,10,12|",L1300-04,f3
286,Rifabutin (Mycobutin),S1741,"CO[C@H]1\C=C\O[C@@]2(C)OC3=C(C2=O)C2=C(C(=O)C(NC(=O)\C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)=C1NC4(CCN(CC(C)C)CC4)N=C21)C(O)=C3C |r,c:9,t:3,14,23,25,44,58|",L1300-04,g3
287,Nevirapine (Viramune),S1742,"CC1=CC=NC2=C1NC(=O)C1=C(N=CC=C1)N2C1CC1 |c:3,5,13,15,t:1,11|",L1300-04,h3
288,Esomeprazole magnesium (Nexium),S1743,"[Mg++].COC1=CC2=C([N-]C(=N2)S(=O)CC2=C(C)C(OC)=C(C)C=N2)C=C1.COC1=CC2=C([N-]C(=N2)S(=O)CC2=C(C)C(OC)=C(C)C=N2)C=C1 |c:7,13,21,24,33,39,47,50,t:2,4,18,28,30,44|",L1300-04,a4
289,Niacin (Nicotinic acid),S1744,"OC(=O)C1=CC=CN=C1 |c:5,7,t:3|",L1300-04,b4
290,Nimodipine (Nimotop),S1747,"COCCOC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC(=C1)[N+]([O-])=O)C(=O)OC(C)C |c:7,12,18,20,t:16|",L1300-04,c4
291,Nisoldipine (Sular),S1748,"COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC=C1[N+]([O-])=O)C(=O)OCC(C)C |c:4,9,15,17,t:13|",L1300-04,d4
292,Oxybutynin (Ditropan),S1754,"CCN(CC)CC#CCOC(=O)C(O)(C1CCCCC1)C1=CC=CC=C1 |c:23,25,t:21|",L1300-04,e4
293,Enoxacin (Penetrex),S1756,"CCN1C=C(C(O)=O)C(=O)C2=CC(F)=C(N=C12)N1CCNCC1 |c:13,t:3,10,15|",L1300-04,f4
294,Pitavastatin calcium (Livalo),S1759,"[Ca++].O[C@H](C[C@H](O)C=CC1=C(C2=CC=C(F)C=C2)C2=CC=CC=C2N=C1C1CC1)CC([O-])=O.O[C@H](C[C@H](O)C=CC1=C(C2=CC=C(F)C=C2)C2=CC=CC=C2N=C1C1CC1)CC([O-])=O |r,c:7,14,19,21,24,41,48,53,55,58,t:9,11,17,43,45,51|",L1300-04,g4
295,Rifapentine (Priftin),S1760,"CO[C@H]1\C=C\O[C@@]2(C)OC3=C(C2=O)C2=C(O)C(\C=N\N4CCN(CC4)C4CCCC4)=C(NC(=O)C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C(O)=C2C(O)=C3C |r,c:9,14,t:3,32,40|",L1300-04,h4
296,Suprofen (Profenal),S1761,"CC(C(O)=O)C1=CC=C(C=C1)C(=O)C1=CC=CS1 |c:7,9,16,t:5,14|",L1300-04,a5
297,Pyrazinamide (Pyrazinoic acid amide),S1762,"NC(=O)C1=NC=CN=C1 |c:5,7,t:3|",L1300-04,b5
298,Quetiapine fumarate (Seroquel),S1763,"OC(=O)\C=C\C(O)=O.OCCOCCN1CCN(CC1)C1=NC2=CC=CC=C2SC2=C1C=CC=C2.OCCOCCN1CCN(CC1)C1=NC2=CC=CC=C2SC2=C1C=CC=C2 |c:24,26,30,33,35,54,56,60,63,65,t:20,22,50,52|",L1300-04,c5
299,"Rifampin (Rifadin, Rimactane)",S1764,"CO[C@H]1\C=C\O[C@@]2(C)OC3=C(C2=O)C2=C(O)C(\C=N\N4CCN(C)CC4)=C(NC(=O)C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C(O)=C2C(O)=C3C |r,c:9,14,t:3,27,35|",L1300-04,d5
300,Beta Carotene,S1767,"CC(\C=C\C=C(C)\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C |c:9,32|",L1300-04,e5
301,Cefditoren pivoxil,S1768,"[H][C@]12SCC(\C=C/C3=C(C)N=CS3)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\C1=CSC(N)=N1)C(=O)OCOC(=O)C(C)(C)C |r,c:7,10,13,32,t:28|",L1300-04,f5
302,Sulfadiazine,S1770,"NC1=CC=C(C=C1)S(=O)(=O)NC1=NC=CC=N1 |c:3,5,14,16,t:1,12|",L1300-04,g5
303,Chlorprothixene,S1771,"CN(C)CC\C=C1\C2=CC=CC=C2SC2=C1C=C(Cl)C=C2 |c:9,11,15,21,t:7,18|",L1300-04,h5
304,Oxytetracycline (Terramycin),S1773,"[H][C@@]12[C@@H](O)[C@@]3([H])C(C(=O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@H]2N(C)C)=C(O)C1=C(C=CC=C1O)[C@@]3(C)O |r,c:29,31,t:17,24,27|",L1300-04,a6
305,"Toremifene Citrate (Fareston, Acapodene)",S1776,"OC(=O)CC(O)(CC(O)=O)C(O)=O.CN(C)CCOC1=CC=C(C=C1)C(=C(\CCCl)C1=CC=CC=C1)\C1=CC=CC=C1 |c:20,22,32,34,39,41,t:18,30,37|",L1300-04,b6
306,Ethionamide,S1777,"CCC1=NC=CC(=C1)C(N)=S |c:4,6,t:2|",L1300-04,c6
307,Trifluridine (Viroptic),S1778,"OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(C(=O)NC1=O)C(F)(F)F |r,c:10|",L1300-04,d6
308,Azacitidine (Vidaza),S1782,"NC1=NC(=O)N(C=N1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O |r,c:6,t:1|",L1300-04,e6
309,Vidarabine (Vira-A),S1784,"NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@@H]3O)C2=NC=N1 |r,c:1,3,17,19|",L1300-04,f6
310,Verteporfin (Visudyne),S1786,"COC(=O)CCC1=C(C)/C2=C/C3=N/C(=C\C4=C(C)C(C=C)=C(N4)/C=C4\N=C(\C=C\1N2)C(CCC(O)=O)=C\4C)/C1=CC=C([C@@H](C(=O)OC)[C@@]31C)C(=O)OC |r,c:6,13,15,20,24,38,44,t:9,11,26,28,42|",L1300-04,g6
311,Teniposide (Vumon),S1787,"[H][C@@]12[C@H](COC1=O)[C@H](O[C@@H]1O[C@@H]3CO[C@H](O[C@H]3[C@H](O)[C@H]1O)C1=CC=CS1)C1=CC3=C(OCO3)C=C1[C@H]2C1=CC(OC)=C(O)C(OC)=C1 |r,c:26,38,52,t:24,30,32,43,47|",L1300-04,h6
312,Rifaximin (Xifaxan),S1790,"CO[C@H]1\C=C\O[C@@]2(C)OC3=C(C2=O)C2=C(C(O)=C3C)C(O)=C(NC(=O)\C(C)=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C1=C2N=C2C=C(C)C=CN12 |r,c:9,14,17,28,50,58,t:3,22,30,53,55|",L1300-04,a7
313,Simvastatin (Zocor),S1792,"[H][C@@]1(CC[C@H]2[C@@H](C)C=CC3=C[C@H](C)C[C@H](OC(=O)C(C)(C)CC)[C@]23[H])C[C@@H](O)CC(=O)O1 |r,c:7,t:9|",L1300-04,b7
314,Ramipril (Altace),S1793,"CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N1[C@H]2CCC[C@H]2C[C@H]1C(O)=O |r,c:10,12,t:8|",L1300-04,c7
315,"Fenofibrate (Tricor, Trilipix)",S1794,"CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C1=CC=C(Cl)C=C1 |c:12,14,24,t:10,19,21|",L1300-04,d7
316,Ranolazine (Ranexa),S1799,"COC1=CC=CC=C1OCC(O)CN1CCN(CC(=O)NC2=C(C)C=CC=C2C)CC1 |c:4,6,22,25,27,t:2|",L1300-04,e7
317,Ranitidine (Zantac),S1801,"Cl.CN\C(NCCSCC1=CC=C(CN(C)C)O1)=C/[N+]([O-])=O |t:8,10|",L1300-04,f7
318,Acadesine,S1802,"NC(=O)C1=C(N)N(C=N1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O |r,c:3,7|",L1300-04,g7
319,Acetylcholine chloride,S1805,[Cl-].CC(=O)OCC[N+](C)(C)C,L1300-04,h7
320,Acipimox,S1806,"CC1=CN=C(C=[N+]1[O-])C(O)=O |c:3,5,t:1|",L1300-04,a8
321,Acyclovir (Aciclovir),S1807,"NC1=NC2=C(N=CN2COCCO)C(=O)N1 |c:5,t:1,3|",L1300-04,b8
322,Nifedipine (Adalat),S1808,"COC(=O)C1=C(C)NC(C)=C(C1C1=C(C=CC=C1)[N+]([O-])=O)C(=O)OC |c:4,9,15,17,t:13|",L1300-04,c8
323,Amiloride hydrochloride (Midamor),S1811,"Cl.NC(=N)NC(=O)C1=NC(Cl)=C(N)N=C1N |c:12,t:6,9|",L1300-04,d8
324,Amlodipine besylate (Norvasc),S1813,"OS(=O)(=O)C1=CC=CC=C1.CCOC(=O)C1=C(COCCN)NC(C)=C(C1C1=C(Cl)C=CC=C1)C(=O)OC |c:6,8,15,24,28,31,33,t:4|",L1300-04,e8
325,Chlorpheniramine Maleate,S1816,"OC(=O)\C=C/C(O)=O.CN(C)CCC(C1=CC=C(Cl)C=C1)C1=NC=CC=C1 |c:18,23,25,t:13,15,21|",L1300-04,f8
326,Fenoprofen calcium,S1823,"[Ca++].CC(C([O-])=O)C1=CC(OC2=CC=CC=C2)=CC=C1.CC(C([O-])=O)C1=CC(OC2=CC=CC=C2)=CC=C1 |c:11,13,15,17,30,32,34,36,t:5,9,24,28|",L1300-04,g8
327,Erdosteine,S1825,OC(=O)CSCC(=O)NC1CCSC1=O,L1300-04,h8
328,Betaxolol hydrochloride (Betoptic),S1827,"Cl.CC(C)NCC(O)COC1=CC=C(CCOCC2CC2)C=C1 |c:21,t:9,11|",L1300-04,a9
329,Proparacaine HCl,S1828,"Cl.CCCOC1=C(N)C=C(C=C1)C(=O)OCCN(CC)CC |c:4,7,9|",L1300-04,b9
330,Pranlukast,S1829,"O=C(NC1=CC2=C(C=C1)C(=O)C=C(O2)C1=NN=NN1)C1=CC=C(OCCCCC2=CC=CC=C2)C=C1 |c:5,7,12,18,33,35,38,t:3,16,22,24,31|",L1300-04,c9
331,Oxfendazole,S1830,"COC(=O)NC1=NC2=C(N1)C=C(C=C2)S(=O)C1=CC=CC=C1 |c:7,11,13,20,22,t:5,18|",L1300-04,d9
332,Carvedilol,S1831,"COC1=CC=CC=C1OCCNCC(O)COC1=C2C(NC3=C2C=CC=C3)=CC=C1 |c:4,6,22,25,27,29,31,t:2,18|",L1300-04,e9
333,Atracurium besylate,S1832,"[O-]S(=O)(=O)C1=CC=CC=C1.[O-]S(=O)(=O)C1=CC=CC=C1.COC1=CC=C(CC2C3=CC(OC)=C(OC)C=C3CC[N+]2(C)CCC(=O)OCCCCCOC(=O)CC[N+]2(C)CCC3=CC(OC)=C(OC)C=C3C2CC2=CC=C(OC)C(OC)=C2)C=C1OC |c:6,8,16,18,36,71,85,88,t:4,14,22,24,28,32,63,67,77,79|",L1300-04,f9
334,Butoconazole nitrate,S1833,"O[N+]([O-])=O.ClC1=CC=C(CCC(CN2C=CN=C2)SC2=C(Cl)C=CC=C2Cl)C=C1 |c:13,15,19,22,24,28,t:4,6|",L1300-04,g9
335,Azithromycin (Zithromax),S1835,[H][C@@]1(C[C@@](C)(OC)[C@@H](O)[C@H](C)O1)O[C@H]1[C@H](C)[C@@H](O[C@@]2([H])O[C@H](C)C[C@@H]([C@H]2O)N(C)C)C(C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@](C)(O)[C@@H](CC)OC(=O)[C@@H]1C |r|,L1300-04,h9
336,Albendazole Oxide (Ricobendazole),S1836,"CCCS(=O)C1=CC2=C(C=C1)N=C(NC(=O)OC)N2 |c:7,9,t:5,12|",L1300-04,a10
337,Chloroxine,S1839,"OC1=C(Cl)C=C(Cl)C2=C1N=CC=C2 |c:1,7,10,12,t:4|",L1300-04,b10
338,Lomustine (CeeNU),S1840,ClCCN(N=O)C(=O)NC1CCCCC1,L1300-04,c10
339,Chenodeoxycholic acid,S1843,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(O)=O |r|,L1300-04,d10
340,Cimetidine (Tagamet),S1845,"CN\C(NCCSCC1=C(C)NC=N1)=N/C#N |c:8,12|",L1300-04,e10
341,Clemastine Fumarate,S1847,"OC(=O)\C=C\C(O)=O.CN1CCC[C@@H]1CCO[C@](C)(C1=CC=CC=C1)C1=CC=C(Cl)C=C1 |r,c:21,23,31,t:19,26,28|",L1300-04,f10
342,Curcumin,S1848,"COC1=CC(\C=C\C(O)=C\C(=O)\C=C\C2=CC(OC)=C(O)C=C2)=CC=C1O |c:21,23,25,t:2,14,18|",L1300-04,g10
343,Daidzein,S1849,"OC1=CC=C(C=C1)C1=COC2=CC(O)=CC=C2C1=O |c:3,5,14,16,t:1,8,11|",L1300-04,h10
344,Bifonazole,S1854,"C1=CN(C=N1)C(C1=CC=CC=C1)C1=CC=C(C=C1)C1=CC=CC=C1 |c:0,3,9,11,16,18,23,25,t:7,14,21|",L1300-04,a11
345,Pefloxacin mesylate,S1855,"CS(O)(=O)=O.CCN1C=C(C(O)=O)C(=O)C2=CC(F)=C(C=C12)N1CCN(C)CC1 |c:17,t:7,14,19|",L1300-04,b11
346,Metoprolol tartrate,S1856,"O[C@H]([C@@H](O)C(O)=O)C(O)=O.COCCC1=CC=C(OCC(O)CNC(C)C)C=C1.COCCC1=CC=C(OCC(O)CNC(C)C)C=C1 |r,c:26,45,t:13,15,32,34|",L1300-04,c11
347,Diethylstilbestrol (Stilbestrol),S1859,"CC\C(C1=CC=C(O)C=C1)=C(\CC)C1=CC=C(O)C=C1 |c:8,19,t:3,5,14,16|",L1300-04,d11
348,Diltiazem HCl (Tiazac),S1865,"Cl.COC1=CC=C(C=C1)[C@@H]1SC2=C(C=CC=C2)N(CCN(C)C)C(=O)[C@@H]1OC(C)=O |r,c:4,6,13,15,t:2,11|",L1300-04,e11
349,Diphenhydramine HCl (Benadryl),S1866,"Cl.CN(C)CCOC(C1=CC=CC=C1)C1=CC=CC=C1 |c:9,11,16,18,t:7,14|",L1300-04,f11
350,Dapoxetine hydrochloride (Priligy),S1869,"Cl.CN(C)[C@@H](CCOC1=C2C=CC=CC2=CC=C1)C1=CC=CC=C1 |r,c:7,9,11,14,16,21,23,t:19|",L1300-04,g11
351,Valaciclovir HCl,S1876,"Cl.CC(C)[C@H](N)C(=O)OCCOCN1C=NC2=C1N=C(N)NC2=O |r,c:13,15,t:18|",L1300-04,h11
352,Ganciclovir,S1878,"NC1=NC2=C(N=CN2COC(CO)CO)C(=O)N1 |c:5,t:1,3|",L1300-05,a1
353,Roxatidine acetate HCl,S1880,"Cl.CC(=O)OCC(=O)NCCCOC1=CC=CC(CN2CCCCC2)=C1 |c:14,24,t:12|",L1300-05,b1
354,Protionamide (Prothionamide),S1881,"CCCC1=NC=CC(=C1)C(N)=S |c:5,7,t:3|",L1300-05,c1
355,Idoxuridine,S1883,"OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(I)C(=O)NC1=O |r,t:10|",L1300-05,d1
356,Sparfloxacin,S1884,"C[C@H]1CN(C[C@@H](C)N1)C1=C(F)C2=C(C(=O)C(=CN2C2CC2)C(O)=O)C(N)=C1F |r,c:9,16,28,t:12|",L1300-05,e1
357,Felodipine (Plendil),S1885,"CCOC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC(Cl)=C1Cl)C(=O)OC |c:5,10,16,19,t:14|",L1300-05,f1
358,Deflazacort (Calcort),S1888,"[H][C@@]12C[C@@]3([H])[C@]4([H])CCC5=CC(=O)C=C[C@]5(C)[C@@]4([H])[C@@H](O)C[C@]3(C)[C@@]1(N=C(C)O2)C(=O)COC(C)=O |r,c:13,t:9,29|",L1300-05,g1
359,Nizatidine,S1890,"CN\C(NCCSCC1=CSC(CN(C)C)=N1)=C\[N+]([O-])=O |c:15,t:8|",L1300-05,h1
360,Carbidopa,S1891,"C[C@@](CC1=CC(O)=C(O)C=C1)(NN)C(O)=O |r,c:9,t:3,6|",L1300-05,a2
361,Valsartan (Diovan),S1894,"[H][C@@](C(C)C)(N(CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1)C(=O)CCCC)C(O)=O |r,c:9,11,16,18,24,t:7,14,21|",L1300-05,b2
362,Dipyridamole (Persantine),S1895,"OCCN(CCO)C1=NC2=C(N=C(N=C2N2CCCCC2)N(CCO)CCO)C(=N1)N1CCCCC1 |c:11,13,30,t:7,9|",L1300-05,c2
363,Hydroxyurea (Cytodrox),S1896,NC(=O)NO,L1300-05,d2
364,Potassium iodide,S1897,[K+].[I-],L1300-05,e2
365,Tropisetron,S1898,"Cl.[H][C@]12CC[C@]([H])(CC(C1)OC(=O)C1C=NC3=CC=CC=C13)N2C |r,c:14,18,t:16,20|",L1300-05,f2
366,Nicotinamide (Niacinamide),S1899,"NC(=O)C1=CC=CN=C1 |c:5,7,t:3|",L1300-05,g2
367,Vitamin B12,S1902,"[Co++]C#N.[H][C@]12N=C(\C(C)=C3/N=C(/C=C4\N=C(\C(C)=C5/[N-][C@]1(C)[C@@](C)(CC(N)=O)[C@@H]5CCC(N)=O)[C@@](C)(CC(N)=O)[C@@H]4CCC(N)=O)C(C)(C)[C@@H]3CCC(N)=O)[C@](C)(CCC(=O)NC[C@@H](C)OP([O-])(=O)O[C@@H]1[C@@H](CO)O[C@@H]([C@@H]1O)N1C=NC3=C1C=C(C)C(C)=C3)[C@H]2CC(N)=O |r,c:7,11,16,83,85,92,t:4,9,13,88|",L1300-05,h2
368,Diclofenac,S1903,"[Na+].[O-]C(=O)CC1=C(NC2=C(Cl)C=CC=C2Cl)C=CC=C1 |c:4,7,10,12,16,18|",L1300-05,a3
369,Avobenzone (Parsol 1789),S1904,"COC1=CC=C(C=C1)C(=O)CC(=O)C1=CC=C(C=C1)C(C)(C)C |c:4,6,16,18,t:2,14|",L1300-05,b3
370,Amlodipine (Norvasc),S1905,"CCOC(=O)C1=C(COCCN)NC(C)=C(C1C1=C(Cl)C=CC=C1)C(=O)OC |c:5,14,18,21,23|",L1300-05,c3
371,Metronidazole (Flagyl),S1907,"CC1=NC=C(N1CCO)[N+]([O-])=O |c:3,t:1|",L1300-05,d3
372,Flutamide (Eulexin),S1908,"CC(C)C(=O)NC1=CC(=C(C=C1)[N+]([O-])=O)C(F)(F)F |c:8,10,t:6|",L1300-05,e3
373,Fluvastatin sodium (Lescol),S1909,"[Na+].CC(C)N1C(\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)=C(C2=C1C=CC=C2)C1=CC=C(F)C=C1 |r,c:15,17,20,22,30,t:25,27|",L1300-05,f3
374,Tioconazole,S1910,"ClC1=C(COC(CN2C=CN=C2)C2=CC=C(Cl)C=C2Cl)C=CS1 |c:1,8,10,18,22,t:13,15|",L1300-05,g3
375,Tropicamide,S1913,"CCN(CC1=CC=NC=C1)C(=O)C(CO)C1=CC=CC=C1 |c:6,8,18,20,t:4,16|",L1300-05,h3
376,Pregnenolone,S1914,"[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@@H](O)CC[C@]12C |r,t:19|",L1300-05,a4
377,Sulfamethoxazole,S1915,"CC1=CC(NS(=O)(=O)C2=CC=C(N)C=C2)=NO1 |c:13,15,t:1,8,10|",L1300-05,b4
378,Sulfisoxazole,S1916,"CC1=NOC(NS(=O)(=O)C2=CC=C(N)C=C2)=C1C |c:14,16,t:1,9,11|",L1300-05,c4
379,Crystal violet,S1917,"[Cl-].CN(C)C1=CC=C(C=C1)C(C1=CC=C(C=C1)N(C)C)=C1C=CC(C=C1)=[N+](C)C |c:5,7,13,15,22,25,t:3,11|",L1300-05,d4
380,Haloperidol (Haldol),S1920,"OC1(CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1)C1=CC=C(Cl)C=C1 |c:15,26,t:10,12,21,23|",L1300-05,e4
381,Phenindione (Rectadione),S1921,"O=C1C(C(=O)C2=CC=CC=C12)C1=CC=CC=C1 |c:7,15,17,t:5,9,13|",L1300-05,f4
382,Alibendol,S1928,"COC1=CC(CC=C)=CC(C(=O)NCCO)=C1O |c:7,15,t:2|",L1300-05,g4
383,Irsogladine,S1929,"NC1=NC(=NC(N)=N1)C1=C(Cl)C=CC(Cl)=C1 |c:3,6,9,12,15,t:1|",L1300-05,h4
384,Triamcinolone (Aristocort),S1933,"[H][C@@]12C[C@@H](O)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C |r,c:28,t:24|",L1300-05,a5
385,Nystatin (Mycostatin),S1934,"[H][C@]12C[C@@H](O[C@@]3([H])O[C@@H](C)[C@H](O)[C@@H](N)[C@H]3O)\C=C\C=C\C=C\C=C\CC\C=C\C=C\[C@H](C)[C@@H](O)[C@@H](C)[C@H](C)OC(=O)C[C@H](O)C[C@H](O)C[C@H](O)CC[C@@H](O)[C@H](O)C[C@](O)(C[C@H](O)[C@H]1C(O)=O)O2 |r,t:17,19,21,23,27,29|",L1300-05,b5
386,Isoniazid (Tubizid),S1937,"NNC(=O)C1=CC=NC=C1 |c:6,8,t:4|",L1300-05,c5
387,Levofloxacin (Levaquin),S1940,"[H][C@]1(C)COC2=C(N3CCN(C)CC3)C(F)=CC3=C2N1C=C(C(O)=O)C3=O |r,c:5,16,18,t:23|",L1300-05,d5
388,Enalapril maleate (Vasotec),S1941,"OC(=O)\C=C/C(O)=O.CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N1CCC[C@H]1C(O)=O |r,c:17,19,t:15|",L1300-05,e5
389,Menadione,S1949,"CC1=CC(=O)C2=CC=CC=C2C1=O |c:7,9,t:1,5|",L1300-05,f5
390,Methoxsalen (Oxsoralen),S1952,"COC1=C2OC=CC2=CC2=C1OC(=O)C=C2 |c:2,5,8,10,16|",L1300-05,g5
391,Miconazole nitrate,S1956,"O[N+]([O-])=O.ClC1=CC=C(COC(CN2C=CN=C2)C2=CC=C(Cl)C=C2Cl)C(Cl)=C1 |c:13,15,23,28,t:4,6,18,20|",L1300-05,h5
392,Sulfamethizole (Proklar),S1957,"CC1=NN=C(NS(=O)(=O)C2=CC=C(N)C=C2)S1 |c:14,t:1,3,9,11|",L1300-05,a6
